codigo,Estado en Web,articulo,descripcion,web,minimo,ultimoin,moneda,precio,familia,figaro,marca
CM-T2.30,1,BOMBA CONTROL AUTOMATICO - 	TWPS102,"Control automatico para bomba marca TOTAL<br>
Tensión nominal: 220-240V<br>
Frecuencia: 50 / 60Hz<br>
Presion de inicio: 1.5bar<br>
Corriente máx .: 10A<br>
Presión máx .: 10 bar<br>
Diámetro de la tubería: 1&quot; x1&quot;<br>
Grado de protección: IP65<br>
Empaque: caja",,2,,USD,42,TOTAL,BOMBA CONTROL AUTOMATICO - 	TWPS102,
CM-T2.31,1,DESMALEZADORA NAFTA - 	TP445441,"Desmalezadora y bordeadora a nafta TOTAL<br>
Línea: INDUSTRIAL<br>
Cilindrada: 45cc<br>
Potencia nominal: 1.5Kw (2HP)<br>
Velocidad máxima: 10000 RPM<br>
Corte máximo: 440mm<br>
Medida de tanza: 2.5mmx4m<br>
Diámetro de la hoja: 230mm (3 DIENTES)<br>
Capacidad del tanque de combustible: 1200 ml<br>
Potente motor de 2 tiempos.<br>
Doble función: Bordeadora y Desmalezadora<br>
Embalaje : en caja",,2,,USD,135,TOTAL,DESMALEZADORA NAFTA - 	TP445441,
CM-T2.32,1,MOTOSIERRA NAFTA 45CM - 	TG945185,"Motosierra a nafta TOTAL de 18&quot;<br>
Cilindrada: 45.8 cc<br>
Potencia nominal: 1.8Kw<br>
Velocidad de ralentí: 3200 rpm<br>
Diámetro máximo de corte: 445 mm (18&quot;)<br>
Capacidad del tanque de combustible: 550 ml<br>
Capacidad del tanque de aceite: 260 ml<br>
Potente motor de 2 tiempos.<br>
Empaque: caja de cartón",,2,,USD,129,TOTAL,MOTOSIERRA NAFTA 45CM - 	TG945185,
CM-T2.19,2,MARTILLO DEMOLICION 1700W,"Voltaje: 220-240v - 50-60hz<br>
Potencia de entrada: 1700w<br>
Número de percusiones: 1900 bmp<br>
Fuerza de choque: 50 J<br>
Sistema hexagonal SDS<br>
Incluye dos cinceles hexagonales<br>
Peso: 16 kg",215456B,2,,USD,259,TOTAL,MARTILLO DEMOLICION 1700W - 	TH215456,TOTAL
CM-T2.64,2,JUEGO 8 LLAVES 2 BOCAS- 	THT102386,"Juego de 8 llaves de doble boca<br>
Marca TOTAL<br>
Línea INDUSTRIAL<br>
De 6 a 22 mm<br>
Material: Cromo vanadio<br>
06 x 07 mm<br>
08 x 09 mm<br>
10 x 11 mm<br>
12 x 13 mm<br>
14 x 15 mm<br>
16 x 17 mm<br>
18 x 19 mm<br>
20 x 22 mm<br>
Incluye soporte",,2,,USD,15.1,TOTAL,JUEGO 8 LLAVES 2 BOCAS- 	THT102386,
CM-T2.34,1,MARTILLO MECANICO 300G,"Martillo de pena TOTAL<br>
Peso: 300g<br>
Forjado con acero al carbono #45 de primera calidad<br>
Con tratamiento térmico<br>
Mango de fibra de vidrio anatómico y antideslizante",THT713006,2,0,USD,4.2,TOTAL,MARTILLO DE PENA 500G	THT713006,TOTAL
CM-T2.35,1,MARTILLO DE PENA 300G	THT715006,"Martillo de pena TOTAL<br>
Peso: 500g<br>
Forjado con acero al carbono #45 de primera calidad<br>
Con tratamiento térmico<br>
Mango de fibra de vidrio anatómico y antideslizante",,2,,USD,5.6,TOTAL,MARTILLO DE PENA 300G	THT715006,
CM-T2.36,1,MARTILLO MACETA 1000G,"Martillo maceta de albañil TOTAL<br>
Peso: 1000g (1kg)<br>
Forjado en acero al carbono 45#<br>
Con tratamiento térmico<br>
Mango de fibra de vidrio anatómico antideslizante.",THT7210006,2,0,USD,7.5,TOTAL,MARTILLO MACETA 1KG	THT7210006,TOTAL
CM-T2.37,1,MARTILLO MACETA 1.5KG	THT7215006,"Martillo maceta de albañil TOTAL<br>
Peso: 1500g (1.5kg)<br>
Forjado en acero al carbono 45#<br>
Con tratamiento térmico<br>
Mango de fibra de vidrio anatómico antideslizante.",,2,,USD,9.7,TOTAL,MARTILLO MACETA 1.5KG	THT7215006,
CM-T2.38,1,MARTILLO UÐA 220G	THT7386,"Martillo de uña TOTAL<br>
Peso: 220g / 8onzas.<br>
Forjado en acero al carbono 45#<br>
Con tratamiento térmico<br>
Mango de fibra de vidrio anatómico antideslizante.",,2,,USD,4.6,TOTAL,MARTILLO UÐA 220G	THT7386,
CM-T2.39,1,MARTILLO CON UÑA 450G,"Martillo de uña TOTAL<br>
Peso: 450g / &nbsp;16onzas.<br>
Forjado en acero al carbono 45#<br>
Con tratamiento térmico<br>
Mango de fibra de vidrio anatómico antideslizante.",THT73166,2,,USD,5.9,TOTAL,MARTILLO UÐA 450G	THT73166,TOTAL
